,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0064,165915,154387,376702,1613916,513353,214433,916071,144135,248698,39309,1282641,177444,157476,158209,234333,667420,1276408,1655426,220580,308918,47009,1620090,247781,588079,1269275,1129641,1008308,664791,1531821,586844,1623535,512547,326197,372778,916072,1655562,245248,40602,-1,40602,226060,375811,920178,1141257,226060,375811,920178,169997,374609,122934,662638,308909,1276269,1615941,165743,,,,,,,,,,,,,
0065,74302,75565,437054,1748083,587247,11288,1017937,76608,180677,179347,1416111,74375,66964,67420,31568,946825,1410515,1869906,6830,523397,173232,1754257,179761,689946,1403433,1210673,1222787,944243,1665988,685193,1757702,586440,362798,433130,1017938,1870041,238956,177298,-1,177298,394506,432040,1022044,1420662,394506,432040,1022044,309338,431066,272551,942042,523388,1410377,1750108,187190,,,,,,,,,,,,,
0067,623484,635246,289014,1064020,111189,690538,333874,646560,514218,627847,732048,622464,631427,630021,710437,280060,726451,1337963,696684,473951,635546,1070193,524623,5564,719369,526609,690844,277478,981924,16523,1073638,113990,395529,293299,333875,1338098,454991,629139,-1,629139,660592,295043,337980,753897,660592,295043,337980,450851,294255,491236,275277,473961,726313,1066045,133996,,,,,,,,,,,,,
0068,191439,179911,463085,1694318,599736,239957,996473,169659,301038,68407,1363043,202968,183000,183733,259857,747822,1356810,1735829,246104,389320,69051,1700492,300122,668482,1349678,1210043,1088710,745193,1612223,667247,1703937,598929,412580,459161,996475,1735964,331631,68573,-1,68573,172117,462194,1000580,1221659,172117,462194,1000580,256380,460992,209316,743040,389311,1356672,1696343,173783,,,,,,,,,,,,,
0069,38246,34316,404529,1715558,554722,50829,985412,35360,148152,138098,1383586,41850,37444,38177,70728,840650,1377990,1828657,56976,482149,131983,1721732,147236,657421,1370908,1178148,1181538,838021,1633463,652669,1725177,553915,330273,400605,985414,1828792,206431,136049,-1,136049,353257,399516,989519,1314487,353257,399516,989519,268089,398542,231302,835868,482139,1377852,1717583,183066,,,,,,,,,,,,,
0070,36679,34891,399432,1710461,549624,39280,980315,35934,143054,138673,1378489,36753,38019,38751,59179,841225,1372893,1829231,45427,482723,132558,1716634,142138,652323,1365811,1173050,1182113,838596,1628365,647571,1720079,548818,325176,395507,980316,1829367,201333,136624,-1,136624,353832,394418,984421,1315062,353832,394418,984421,268663,393444,231877,836443,482714,1372754,1712486,183123,,,,,,,,,,,,,
0071,953131,964893,618661,729445,440837,1020185,5464,976207,843865,957494,397473,952111,961074,959668,1040084,378757,391877,1231562,1026332,751852,965194,735618,854271,333785,384795,192035,712370,384141,647349,346170,739064,443638,725176,622947,5545,1231698,784638,958786,-1,958786,990239,624690,722,463350,990239,624690,722,780498,623902,820884,383779,751861,391738,731470,123356,,,,,,,,,,,,,
0072,255735,267498,115892,1444311,283475,322790,714165,278812,146470,313785,1112339,254716,263678,262273,342689,648677,1106743,1706580,328936,497489,318754,1450485,156875,386174,1099661,906901,1059462,646096,1362216,381422,1453930,282668,35050,111968,714167,1706716,87243,315077,-1,315077,505985,110879,718272,1122514,505985,110879,718272,136715,109905,183349,643895,497480,1106605,1446336,170858,,,,,,,,,,,,,
0073,17484,20286,385175,1696204,535368,91108,966059,27926,128798,110788,1364232,30728,28126,28858,111007,813340,1358636,1801347,97254,454838,104673,1702378,127882,638067,1351554,1158794,1154228,810711,1614109,633315,1705823,534561,310920,381251,966060,1801482,187077,108739,-1,108739,325947,380162,970165,1287177,325947,380162,970165,240779,379188,203992,808558,454829,1358498,1698229,180335,,,,,,,,,,,,,
0074,1247553,1259316,913084,446453,735259,1314608,300599,1270630,1138288,1272705,114481,1246534,1255496,1254091,1334507,653290,108885,948570,1320754,1017427,1280404,452626,1148693,628208,101803,112920,821711,658674,364357,640593,456071,738060,1019599,917369,300080,948706,1079061,1273997,-1,1273997,1292214,919112,297616,180357,1292214,919112,297616,1074920,918324,1115306,658312,1017437,108746,448478,95057,,,,,,,,,,,,,
